book_author_id,book_id,author_id
1,1,3563
2,1,5829
3,2,3563
4,2,5829
5,4,3563
6,5,3563
7,5,5829
8,8,3563
9,8,5829
10,9,8890
11,10,3563
12,12,2137
13,13,2137
14,14,2137
15,16,2137
16,16,8188
17,18,2137
18,21,793
19,22,793
20,23,793
21,24,793
22,25,793
23,26,793
24,27,793
25,28,793
26,29,793
27,30,3576
28,31,3576
29,34,3576
30,35,3576
31,35,103
32,36,1280
33,36,1351
34,36,7348
35,37,4612
36,45,1674
37,45,1779
38,45,5172
39,45,6233
40,45,8560
41,45,320
42,50,2844
43,51,2102
44,51,2291
45,51,4868
46,53,2844
47,54,6289
48,55,1561
49,57,380
50,57,7814
51,57,4638
52,57,5761
53,57,4771
54,57,8030
55,57,5016
56,57,4774
57,57,9008
58,58,1932
59,59,6630
60,61,9180
61,63,4775
62,66,6969
63,67,2287
64,68,2287
65,68,4935
66,69,2287
67,71,7919
68,72,5729
69,74,4380
70,74,9060
71,75,4380
72,76,4380
73,77,4380
74,78,4380
75,79,4380
76,80,4380
77,81,4380
78,83,4380
79,85,8988
80,86,8988
81,89,3251
82,90,3249
83,91,3247
84,91,7653
85,92,3251
86,93,4199
87,93,785
88,93,383
89,94,3251
90,96,7653
91,96,3247
92,98,3253
93,98,8004
94,98,547
95,98,7856
96,98,5680
97,99,3250
98,99,5235
99,100,3249
100,103,2691
101,105,2691
102,106,2691
103,107,920
104,109,2691
105,110,2691
106,110,920
107,110,4931
108,117,2691
109,119,2846
110,122,982
111,123,982
112,129,4257
113,129,8233
114,129,8584
115,130,1663
116,131,5363
117,132,42
118,133,5754
119,135,1300
120,135,5296
121,137,5754
122,138,4654
123,139,5754
124,140,5754
125,141,5393
126,141,5190
127,142,7737
128,144,7737
129,147,7387
130,151,5170
131,151,7318
132,151,5035
133,152,5170
134,152,1813
135,152,7019
136,153,5170
137,153,7318
138,153,5035
139,153,4240
140,154,5612
141,154,5170
142,155,5170
143,155,292
144,155,1483
145,156,5170
146,156,5385
147,156,620
148,157,5170
149,157,1483
150,157,292
151,159,3037
152,160,517
153,162,6314
154,162,2204
155,163,4238
156,164,2350
157,164,6554
158,165,6377
159,166,8802
160,166,9136
161,168,8820
162,168,2804
163,168,2338
164,171,694
165,177,4259
166,177,6680
167,177,8555
168,180,2948
169,180,4850
170,181,5467
171,182,8470
172,201,5467
173,204,1519
174,205,1239
175,207,2597
176,207,1246
177,207,7564
178,208,1596
179,213,1244
180,213,3736
181,214,1244
182,214,5115
183,216,1244
184,216,2437
185,230,1244
186,231,8717
187,237,2281
188,237,5074
189,237,2284
190,244,7030
191,245,3293
192,245,8586
193,247,3293
194,249,3293
195,249,4119
196,250,3293
197,251,3293
198,252,3293
199,253,3293
200,264,3288
201,264,6636
202,269,3288
203,269,2791
204,269,5815
205,277,5592
206,278,5592
207,278,643
208,280,5592
209,280,7340
210,285,4715
211,285,8343
212,285,7826
213,288,3905
